Waypoint Name,Waypoint Index,Time (UTC),Latitude,Longitude,TWD97:X,TWD97:Y,Elevation (m),Description,Comment,Symbol
鹿1.9K,35,2024-08-11 09:04:09,23.444740,120.960890,246004,2593532,3653.200000,鹿C-1-1/C-1型 方向牌,鹿C-1-1/C-1型 方向牌,Milestone
鹿2.0K,36,2024-08-11 09:04:09,23.445153,120.961577,246074,2593578,3625.200000,,,Milestone
鹿2.1K/支0.8K,37,2024-08-11 09:04:09,23.445398,120.962203,246138,2593605,3612.200000,鹿C-2-1/C-1型 方向牌,鹿C-2-1/C-1型 方向牌,Milestone
鹿2.2K,38,2024-08-11 09:04:09,23.445813,120.962713,246190,2593651,3625.200000,,,Milestone
鹿2.3K,39,2024-08-11 09:04:09,23.446107,120.963297,246250,2593684,3630.800000,鹿C-3-1/C-3型 里程柱,鹿C-3-1/C-3型 里程柱,Milestone
鹿2.4K,40,2024-08-11 09:04:09,23.446600,120.963692,246290,2593738,3620.600000,,,Milestone
鹿2.5K,41,2024-08-11 09:04:09,23.447233,120.964079,246330,2593808,3633.900000,,,Milestone
鹿2.6K,42,2024-08-11 09:04:09,23.447486,120.964719,246395,2593836,3621.000000,,,Milestone
鹿2.7K,43,2024-08-11 09:04:09,23.447398,120.965513,246476,2593827,3621.700000,,,Milestone
鹿2.8K,44,2024-08-11 09:04:09,23.447380,120.966280,246555,2593825,3629.700000,鹿F-1-3/F-1型 指引標誌,鹿F-1-3/F-1型 指引標誌,Milestone
鹿2.9K,45,2024-08-11 09:04:09,23.447810,120.966849,246613,2593872,3612.900000,,,Milestone
鹿3.0K,46,2024-08-11 09:04:09,23.448099,120.967449,246674,2593904,3594.394531,,,Milestone
鹿3.1K,47,2024-08-11 09:04:09,23.448082,120.968242,246755,2593902,3573.000000,,,Milestone
鹿3.2K,48,2024-08-11 09:04:09,23.448197,120.968964,246829,2593915,3576.300000,,,Milestone
